algorithm,eps,size,run_id,error_pct,runtime_sec
Greedy,,2,1,0.0,1.33514404296875e-05
PTAS,0.2,2,1,0.0,0.0002562999725341797
PTAS,0.5,2,1,0.0,0.00011754035949707031
PTAS,0.8,2,1,0.0,8.535385131835938e-05
Greedy,,2,2,0.0,8.106231689453125e-06
PTAS,0.2,2,2,0.0,0.00020503997802734375
PTAS,0.5,2,2,0.0,0.0001285076141357422
PTAS,0.8,2,2,0.0,8.273124694824219e-05
Greedy,,2,3,0.0,7.152557373046875e-06
PTAS,0.2,2,3,0.0,0.00017881393432617188
PTAS,0.5,2,3,0.0,0.00019550323486328125
PTAS,0.8,2,3,0.0,1.3828277587890625e-05
Greedy,,2,4,0.0,6.67572021484375e-06
PTAS,0.2,2,4,0.0,0.00018978118896484375
PTAS,0.5,2,4,0.0,0.00028896331787109375
PTAS,0.8,2,4,0.0,1.6927719116210938e-05
Greedy,,2,5,0.0,6.198883056640625e-06
PTAS,0.2,2,5,0.0,0.00040912628173828125
PTAS,0.5,2,5,0.0,2.3126602172851562e-05
PTAS,0.8,2,5,0.0,1.1920928955078125e-05
Greedy,,2,6,0.0,7.3909759521484375e-06
PTAS,0.2,2,6,0.0,0.00020241737365722656
PTAS,0.5,2,6,8.039756227340495,0.00011873245239257812
PTAS,0.8,2,6,8.039756227340495,5.984306335449219e-05
Greedy,,2,7,0.0,6.67572021484375e-06
PTAS,0.2,2,7,0.0,0.00020503997802734375
PTAS,0.5,2,7,0.0,0.0002002716064453125
PTAS,0.8,2,7,0.0,7.128715515136719e-05
Greedy,,2,8,0.0,5.4836273193359375e-06
PTAS,0.2,2,8,0.0,0.00013637542724609375
PTAS,0.5,2,8,0.0,9.298324584960938e-06
PTAS,0.8,2,8,0.0,5.7220458984375e-06
Greedy,,2,9,0.0,3.814697265625e-06
PTAS,0.2,2,9,0.0,0.00016188621520996094
PTAS,0.5,2,9,0.0,7.152557373046875e-05
PTAS,0.8,2,9,0.0,5.1021575927734375e-05
Greedy,,2,10,0.0,4.0531158447265625e-06
PTAS,0.2,2,10,0.0,1.7881393432617188e-05
PTAS,0.5,2,10,0.0,5.245208740234375e-06
PTAS,0.8,2,10,0.0,4.5299530029296875e-06
Greedy,,2,11,0.0,3.337860107421875e-06
PTAS,0.2,2,11,0.0,0.0001418590545654297
PTAS,0.5,2,11,0.0,7.390975952148438e-05
PTAS,0.8,2,11,0.0,3.504753112792969e-05
Greedy,,2,12,0.0,4.291534423828125e-06
PTAS,0.2,2,12,0.0,0.00011157989501953125
PTAS,0.5,2,12,0.0,7.62939453125e-06
PTAS,0.8,2,12,0.0,5.4836273193359375e-06
Greedy,,2,13,0.0,3.337860107421875e-06
PTAS,0.2,2,13,0.0,0.00010585784912109375
PTAS,0.5,2,13,0.0,0.00011110305786132812
PTAS,0.8,2,13,0.0,4.029273986816406e-05
Greedy,,2,14,0.0,4.5299530029296875e-06
PTAS,0.2,2,14,0.0,7.152557373046875e-06
PTAS,0.5,2,14,0.0,5.245208740234375e-06
PTAS,0.8,2,14,0.0,4.5299530029296875e-06
Greedy,,2,15,0.0,3.337860107421875e-06
PTAS,0.2,2,15,0.0,0.00011658668518066406
PTAS,0.5,2,15,0.0,6.9141387939453125e-06
PTAS,0.8,2,15,0.0,5.0067901611328125e-06
Greedy,,4,1,0.0,9.5367431640625e-06
PTAS,0.2,4,1,0.0,0.00022411346435546875
PTAS,0.5,4,1,0.0,0.0001666545867919922
PTAS,0.8,4,1,30.95246705776861,4.0531158447265625e-05
Greedy,,4,2,0.0,6.4373016357421875e-06
PTAS,0.2,4,2,0.0,0.00023937225341796875
PTAS,0.5,4,2,0.0,0.00017690658569335938
PTAS,0.8,4,2,0.0,4.124641418457031e-05
Greedy,,4,3,0.0,7.152557373046875e-06
PTAS,0.2,4,3,0.0,0.00017547607421875
PTAS,0.5,4,3,0.0,0.00012135505676269531
PTAS,0.8,4,3,22.09498708374642,4.363059997558594e-05
Greedy,,4,4,0.0,5.9604644775390625e-06
PTAS,0.2,4,4,0.0,0.0001735687255859375
PTAS,0.5,4,4,0.0,0.00011157989501953125
PTAS,0.8,4,4,0.0,0.00010371208190917969
Greedy,,4,5,0.0,5.7220458984375e-06
PTAS,0.2,4,5,0.0,0.0001800060272216797
PTAS,0.5,4,5,0.0,0.00013136863708496094
PTAS,0.8,4,5,35.98480613482286,4.553794860839844e-05
Greedy,,4,6,0.0,5.9604644775390625e-06
PTAS,0.2,4,6,0.0,0.00017404556274414062
PTAS,0.5,4,6,0.0,0.00010561943054199219
PTAS,0.8,4,6,0.0,3.9577484130859375e-05
Greedy,,4,7,0.0,6.67572021484375e-06
PTAS,0.2,4,7,0.0,0.0012545585632324219
PTAS,0.5,4,7,0.0,0.00018143653869628906
PTAS,0.8,4,7,72.02333435484147,9.250640869140625e-05
Greedy,,4,8,30.972488525810345,7.867813110351562e-06
PTAS,0.2,4,8,0.0,0.00020623207092285156
PTAS,0.5,4,8,0.0,0.00021266937255859375
PTAS,0.8,4,8,100.0,4.76837158203125e-05
Greedy,,4,9,0.0,6.4373016357421875e-06
PTAS,0.2,4,9,0.0,0.0001537799835205078
PTAS,0.5,4,9,0.0,9.417533874511719e-05
PTAS,0.8,4,9,3.066409635256221,6.651878356933594e-05
Greedy,,4,10,0.0,6.198883056640625e-06
PTAS,0.2,4,10,0.0,0.0002608299255371094
PTAS,0.5,4,10,0.0,0.00015044212341308594
PTAS,0.8,4,10,0.0,5.650520324707031e-05
Greedy,,4,11,4.900057273558587,6.198883056640625e-06
PTAS,0.2,4,11,0.0,0.00021958351135253906
PTAS,0.5,4,11,0.0,0.00013566017150878906
PTAS,0.8,4,11,100.0,5.3882598876953125e-05
Greedy,,4,12,0.0,6.4373016357421875e-06
PTAS,0.2,4,12,0.0,0.0002243518829345703
PTAS,0.5,4,12,0.0,0.00017547607421875
PTAS,0.8,4,12,2.610727549615578,6.079673767089844e-05
Greedy,,4,13,0.0,6.9141387939453125e-06
PTAS,0.2,4,13,0.0,0.0002777576446533203
PTAS,0.5,4,13,8.48893786454974,9.250640869140625e-05
PTAS,0.8,4,13,100.0,4.267692565917969e-05
Greedy,,4,14,0.0,6.198883056640625e-06
PTAS,0.2,4,14,0.0,0.00022339820861816406
PTAS,0.5,4,14,0.0,0.00015783309936523438
PTAS,0.8,4,14,0.0,0.0001285076141357422
Greedy,,4,15,15.374772074652416,6.198883056640625e-06
PTAS,0.2,4,15,0.0,0.00017571449279785156
PTAS,0.5,4,15,0.0,0.00011444091796875
PTAS,0.8,4,15,100.0,3.147125244140625e-05
Greedy,,6,1,8.321287560150296,1.0251998901367188e-05
PTAS,0.2,6,1,0.0,0.00031113624572753906
PTAS,0.5,6,1,0.0,0.0002472400665283203
PTAS,0.8,6,1,4.748210881360587,9.274482727050781e-05
Greedy,,6,2,0.0,8.821487426757812e-06
PTAS,0.2,6,2,0.0,0.00030303001403808594
PTAS,0.5,6,2,0.0,0.00021910667419433594
PTAS,0.8,6,2,10.422148013499207,6.890296936035156e-05
Greedy,,6,3,13.346222583056447,7.62939453125e-06
PTAS,0.2,6,3,1.5677075603536784e-14,0.0004417896270751953
PTAS,0.5,6,3,1.5677075603536784e-14,0.00035119056701660156
PTAS,0.8,6,3,13.346222583056447,5.030632019042969e-05
