algorithm,size,run_id,runtime_sec,peak_mem_kb
PTAS,8,1,0.0005042552947998047,3.3671875
Greedy,8,1,9.036064147949219e-05,0.65625
PTAS,8,2,0.00044226646423339844,3.0859375
Greedy,8,2,5.4836273193359375e-05,0.6015625
PTAS,8,3,0.00034117698669433594,2.3828125
Greedy,8,3,4.506111145019531e-05,0.59375
PTAS,8,4,0.00038814544677734375,3.03125
Greedy,8,4,5.2928924560546875e-05,0.65625
PTAS,8,5,0.00035953521728515625,2.4453125
Greedy,8,5,4.506111145019531e-05,0.59375
PTAS,8,6,0.0003933906555175781,3.0625
Greedy,8,6,4.8160552978515625e-05,0.65625
PTAS,8,7,0.0003352165222167969,2.3828125
Greedy,8,7,6.4849853515625e-05,0.6640625
PTAS,8,8,0.00024390220642089844,1.40625
Greedy,8,8,4.506111145019531e-05,0.6484375
PTAS,8,9,0.00032806396484375,2.359375
Greedy,8,9,5.698204040527344e-05,0.65625
PTAS,8,10,0.00029015541076660156,2.3828125
Greedy,8,10,4.601478576660156e-05,0.59375
PTAS,8,11,0.00023794174194335938,1.34375
Greedy,8,11,0.0005774497985839844,1.4833984375
PTAS,8,12,0.0003554821014404297,1.34375
Greedy,8,12,6.747245788574219e-05,0.7109375
PTAS,8,13,0.00020503997802734375,1.34375
Greedy,8,13,5.5789947509765625e-05,0.6015625
PTAS,8,14,0.00019741058349609375,1.40625
Greedy,8,14,4.744529724121094e-05,0.6015625
PTAS,8,15,0.0003604888916015625,2.421875
Greedy,8,15,4.601478576660156e-05,0.6484375
PTAS,16,1,0.00043129920959472656,2.484375
Greedy,16,1,0.00012683868408203125,0.7734375
PTAS,16,2,0.00047278404235839844,3.046875
Greedy,16,2,0.00012445449829101562,0.7109375
PTAS,16,3,0.0005023479461669922,3.8671875
Greedy,16,3,0.00011754035949707031,0.7109375
PTAS,16,4,0.0004253387451171875,3.0703125
Greedy,16,4,0.00010895729064941406,0.7109375
PTAS,16,5,0.00048661231994628906,3.046875
Greedy,16,5,0.00013899803161621094,0.65625
PTAS,16,6,0.000396728515625,3.0703125
Greedy,16,6,0.0001277923583984375,0.71875
PTAS,16,7,0.0002684593200683594,1.46875
Greedy,16,7,0.00010633468627929688,0.71875
PTAS,16,8,0.0003917217254638672,2.421875
Greedy,16,8,0.00010085105895996094,0.71875
PTAS,16,9,0.0004076957702636719,2.40625
Greedy,16,9,9.083747863769531e-05,0.7109375
PTAS,16,10,0.0006890296936035156,3.3671875
Greedy,16,10,0.00016832351684570312,0.7734375
PTAS,16,11,0.0004436969757080078,2.96875
Greedy,16,11,8.177757263183594e-05,0.7109375
PTAS,16,12,0.0004162788391113281,2.421875
Greedy,16,12,0.00013947486877441406,0.7734375
PTAS,16,13,0.0004444122314453125,3.09375
Greedy,16,13,0.0001068115234375,0.71875
PTAS,16,14,0.0003867149353027344,2.4453125
Greedy,16,14,8.96453857421875e-05,0.7734375
PTAS,16,15,0.000362396240234375,3.09375
Greedy,16,15,8.320808410644531e-05,0.6640625
PTAS,32,1,0.0005536079406738281,3.203125
Greedy,32,1,0.00020122528076171875,0.8984375
